title,developer,platform,release_date,critic_score,number_of_critics,user_score,number_of_users,player_mode,esrb_rating,genre
Elden Ring,From Software,PlayStation 5,02/25/2022,96.0,85,7.8,11711,Up to 4 ,M,"Role-Playing, Action RPG"
The Witcher 3: Wild Hunt - Complete Edition,CD Projekt Red Studio,PlayStation 5,12/14/2022,94.0,31,8.0,549,No Online Multiplayer,M,"Role-Playing, Action RPG"
God of War: Ragnarok,SCE Santa Monica,PlayStation 5,11/09/2022,94.0,141,8.0,8320,No Online Multiplayer,M,"Open-World, Action Adventure, General"
Hades,Supergiant Games,PlayStation 5,08/13/2021,93.0,31,8.7,429,No Online Multiplayer,T,"Role-Playing, Action Adventure, Linear, Roguelike"
Tetris Effect: Connected,Monstars Inc.,PlayStation 5,02/22/2023,93.0,8,6.4,38,,,"Puzzle, Stacking"
Resident Evil 4,Capcom,PlayStation 5,03/24/2023,93.0,121,8.1,3043,No Online Multiplayer,M,"Action Adventure, Survival"
Demon's Souls,JapanStudio,PlayStation 5,11/11/2020,92.0,100,8.0,3552,Up to 6 ,M,"Role-Playing, Action RPG"
Street Fighter 6,Capcom,PlayStation 5,06/02/2023,92.0,78,7.4,199,2 ,T,"Action, Fighting, 2D"
Persona 5 Royal,Atlus,PlayStation 5,10/21/2022,91.0,10,7.9,171,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Moss: Book II,Polyarc,PlayStation 5,02/22/2023,90.0,8,7.6,17,No Online Multiplayer,E10+,"Action Adventure, General"
Tony Hawk's Pro Skater 1 + 2,Vicarious Visions,PlayStation 5,03/26/2021,90.0,19,7.2,115,Up to 8 ,T,"Sports, Individual, Skate / Skateboard"
Final Fantasy XIV: Endwalker,Square Enix,PlayStation 5,12/07/2021,90.0,14,8.7,620,Massively Multiplayer,T,"Role-Playing, Massively Multiplayer"
Final Fantasy VII Remake Intergrade,Square Enix,PlayStation 5,06/10/2021,89.0,56,8.2,780,No Online Multiplayer,T,"Role-Playing, Action RPG"
Dead Space,Electronic Arts,PlayStation 5,01/27/2023,89.0,88,8.7,896,No Online Multiplayer,M,"Action Adventure, Survival"
The Stanley Parable: Ultra Deluxe,Crows Crows Crows,PlayStation 5,04/27/2022,89.0,8,8.1,54,No Online Multiplayer,E10+,"Adventure, 3D, First-Person"
Disco Elysium: The Final Cut,ZA/UM,PlayStation 5,03/30/2021,89.0,30,8.0,176,No Online Multiplayer,M,"Role-Playing, General, Western-Style"
Devil May Cry 5: Special Edition,Capcom,PlayStation 5,11/12/2020,89.0,34,8.4,379,Up to 3 ,M,"Action Adventure, General"
Monster Hunter Rise: Sunbreak,Capcom,PlayStation 5,04/28/2023,88.0,10,4.1,35,Up to 4 ,T,"Role-Playing, Action RPG"
The Last of Us Part I,Naughty Dog,PlayStation 5,09/02/2022,88.0,114,6.7,2244,No Online Multiplayer,M,"Action Adventure, General, Linear"
Ratchet & Clank: Rift Apart,Insomniac Games,PlayStation 5,06/11/2021,88.0,127,8.5,2452,No Online Multiplayer,E10+,"Action, Platformer, 3D"
It Takes Two,Hazelight,PlayStation 5,03/26/2021,88.0,49,9.0,885,2 ,T,"Action Adventure, Linear"
Deathloop,Arkane Studios,PlayStation 5,09/14/2021,88.0,109,6.5,1455,2 ,M,"Action, Shooter, First-Person, Arcade"
Horizon Forbidden West,Guerrilla,PlayStation 5,02/18/2022,88.0,126,7.9,10056,No Online Multiplayer,T,"Role-Playing, Action RPG, Action Adventure, Open-World"
Rez Infinite,Enhance Games,PlayStation 5,02/22/2023,88.0,8,6.5,11,No Online Multiplayer,E10+,"Action, Shooter, Rail"
Mortal Kombat 11 Ultimate,NetherRealm Studios,PlayStation 5,11/17/2020,88.0,17,7.3,285,Up to 8 ,M,"Action, Fighting, 2D"
Ghost of Tsushima: Director's Cut,Sucker Punch,PlayStation 5,08/20/2021,87.0,73,7.4,1805,Up to 4 ,M,"Action Adventure, Open-World"
The Nioh Collection,Team Ninja,PlayStation 5,02/05/2021,87.0,36,8.4,129,Up to 4 ,M,"Miscellaneous, Compilation"
Gran Turismo 7,Polyphony Digital,PlayStation 5,03/04/2022,87.0,119,2.2,11042,Up to 20 ,E,"Racing, Simulation, Automobile"
Guilty Gear -Strive-,Arc System Works,PlayStation 5,06/08/2021,87.0,53,7.7,104,Up to 32 ,T,"Action, Fighting, 2D"
Uncharted: Legacy of Thieves Collection,Naughty Dog,PlayStation 5,01/28/2022,87.0,79,8.7,906,,T,"Miscellaneous, Compilation"
Monster Hunter Rise,Capcom,PlayStation 5,01/20/2023,87.0,32,3.2,206,Up to 4 ,T,"Role-Playing, Action RPG"
Destiny 2: The Witch Queen,Bungie,PlayStation 5,02/22/2022,87.0,17,7.9,154,,T,"Action, Shooter, First-Person, Arcade"
Inscryption,Daniel Mullins Games,PlayStation 5,08/30/2022,87.0,7,8.5,60,No Online Multiplayer,M,"Strategy, Turn-Based, Card Battle"
Chicory: A Colorful Tale,Greg Lobanov,PlayStation 5,06/10/2021,87.0,20,6.7,33,No Online Multiplayer,E,"Adventure, General"
Tales of Arise,Bandai Namco Games,PlayStation 5,09/10/2021,87.0,76,8.5,638,No Online Multiplayer,T,"Role-Playing, Japanese-Style"
Crash Bandicoot 4: It's About Time,Toys for Bob,PlayStation 5,03/12/2021,86.0,21,7.8,165,No Online Multiplayer,E10+,"Action, Platformer, 3D"
Yakuza: Like a Dragon,Ryu ga Gotoku Studios,PlayStation 5,03/02/2021,86.0,11,8.1,169,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Cult of the Lamb,Massive Monster,PlayStation 5,08/11/2022,86.0,8,6.6,67,No Online Multiplayer,T,"Action Adventure, General"
Tactics Ogre: Reborn,Square Enix,PlayStation 5,11/11/2022,86.0,22,6.0,78,No Online Multiplayer,T,"Strategy, Turn-Based, Tactics"
Atari 50: The Anniversary Celebration,Digital Eclipse,PlayStation 5,11/11/2022,86.0,11,7.8,9,No Online Multiplayer,T,"Miscellaneous, Compilation"
Tunic,ISOMETRICORP Games,PlayStation 5,09/27/2022,86.0,7,8.0,41,No Online Multiplayer,,"Role-Playing, Action Adventure, Action RPG, Open-World"
Returnal,Housemarque,PlayStation 5,04/30/2021,86.0,115,7.3,3914,No Online Multiplayer,T,"Action, Shooter, Third-Person, Arcade"
Octopath Traveler II,Square Enix,PlayStation 5,02/24/2023,86.0,34,8.0,107,No Online Multiplayer,T,"Role-Playing, Japanese-Style"
Chivalry 2,Torn Banner Studios,PlayStation 5,04/23/2021,85.0,20,6.2,85,Up to 64 ,M,"Action, Beat-'Em-Up, 3D"
Return to Monkey Island,Terrible Toybox,PlayStation 5,11/08/2022,85.0,10,7.6,17,No Online Multiplayer,E10+,"Adventure, Point-and-Click"
Crusader Kings III,Lab42,PlayStation 5,03/29/2022,85.0,13,6.6,31,,T,"Strategy, Real-Time, General"
Star Wars Jedi: Survivor,Respawn Entertainment,PlayStation 5,04/28/2023,85.0,108,5.9,850,No Online Multiplayer,T,"Open-World, Action Adventure, General"
Marvel's Spider-Man: Miles Morales,Insomniac Games,PlayStation 5,11/12/2020,85.0,89,7.7,2639,No Online Multiplayer,T,"Action Adventure, Open-World"
Control: Ultimate Edition,Remedy Entertainment,PlayStation 5,02/02/2021,85.0,26,8.0,338,No Online Multiplayer,M,"Action Adventure, General"
Warframe,Digital Extremes,PlayStation 5,11/26/2020,85.0,7,7.8,24,Online Multiplayer,,"Action, Shooter, Third-Person, Arcade"
Humanity,Tha Ltd.,PlayStation 5,05/16/2023,85.0,26,8.6,58,,,"Action, Strategy, General, Puzzle"
Labyrinth of Galleria: The Moon Society,Nippon Ichi Software,PlayStation 5,02/14/2023,85.0,7,7.8,4,,M,"Role-Playing, Japanese-Style"
The Forgotten City,Modern Storyteller,PlayStation 5,07/28/2021,85.0,17,8.2,74,No Online Multiplayer,T,"Action Adventure, General"
Valkyrie Profile: Lenneth,Square Enix,PlayStation 5,12/22/2022,85.0,10,7.7,15,,,"Role-Playing, Japanese-Style"
Death Stranding: Director's Cut,Kojima Productions,PlayStation 5,09/24/2021,85.0,66,7.3,863,No Online Multiplayer,M,"Action, Action Adventure, General, Open-World"
Assassin's Creed Valhalla,Ubisoft Montreal,PlayStation 5,11/12/2020,84.0,8,7.7,2056,No Online Multiplayer,M,"Action Adventure, Open-World"
Hitman 3,Io Interactive,PlayStation 5,01/20/2021,84.0,35,8.1,321,No Online Multiplayer,M,"Action Adventure, General"
OlliOlli World,roll7,PlayStation 5,02/08/2022,84.0,38,7.4,45,No Online Multiplayer,E10+,"Action, Platformer, 2D"
F1 2021,Codemasters,PlayStation 5,07/13/2021,84.0,31,6.1,77,Up to 20 ,E,"Racing, Simulation, Automobile"
Overcooked! All You Can Eat,Ghost Town Games Ltd.,PlayStation 5,11/12/2020,84.0,13,7.0,36,Up to 4 ,E,"Miscellaneous, Compilation"
Hogwarts Legacy,Avalanche Software,PlayStation 5,02/07/2023,84.0,94,8.7,3139,No Online Multiplayer,T,"Action Adventure, Open-World, Role-Playing, Western-Style"
Resident Evil Village,Capcom,PlayStation 5,05/07/2021,84.0,108,7.7,2766,No Online Multiplayer,M,"Action Adventure, Survival"
Ghost of Tsushima: Iki Island,Sucker Punch,PlayStation 5,08/20/2021,84.0,7,7.9,487,No Online Multiplayer,,"Action Adventure, Open-World"
The Pedestrian,Skookum Arts LLC,PlayStation 5,01/29/2021,83.0,10,7.4,17,No Online Multiplayer,E10+,"Puzzle, Action"
Astro's Playroom,JapanStudio,PlayStation 5,11/12/2020,83.0,69,9.0,1461,No Online Multiplayer,E10+,"Action, Platformer, 3D"
Metro Exodus: Complete Edition,4A Games,PlayStation 5,06/18/2021,83.0,11,8.2,205,No Online Multiplayer,M,"Action, Shooter, First-Person, Arcade"
Judgment,Ryu ga Gotoku Studios,PlayStation 5,04/23/2021,83.0,33,8.7,120,No Online Multiplayer,M,"Action Adventure, Open-World"
Live A Live,historia Inc,PlayStation 5,04/27/2023,83.0,11,6.4,11,No Online Multiplayer,T,"Role-Playing, Strategy, Turn-Based, Japanese-Style, Tactics"
Anno 1800 Console Edition,Ubisoft Blue Byte,PlayStation 5,03/16/2023,83.0,11,7.1,21,Up to 16 ,T,"Strategy, Management, Government"
Stray,Bluetwelve,PlayStation 5,07/19/2022,83.0,99,8.4,1932,No Online Multiplayer,E10+,"Action Adventure, Adventure, General, 3D, Third-Person"
A Space For The Unbound,Mojiken Studio,PlayStation 5,01/19/2023,83.0,9,6.9,8,No Online Multiplayer,T,"Adventure, General"
Two Point Campus,Two Point Studios,PlayStation 5,08/09/2022,82.0,16,4.9,15,No Online Multiplayer,T,"Strategy, Management, Business / Tycoon"
Lost Judgment,SegaSoft,PlayStation 5,09/24/2021,82.0,80,8.5,219,No Online Multiplayer,M,"Action Adventure, Open-World"
Atelier Ryza 3: Alchemist of the End & the Secret Key,Gust,PlayStation 5,03/24/2023,82.0,20,9.3,155,No Online Multiplayer,T,"Role-Playing, Japanese-Style"
LEGO Star Wars: The Skywalker Saga,Warner Bros. Interactive Entertainment,PlayStation 5,04/05/2022,82.0,62,8.0,289,No Online Multiplayer,E10+,"Action Adventure, General"
MLB The Show 23,Sony Interactive Entertainment San Diego Studio,PlayStation 5,03/24/2023,82.0,33,7.6,28,Up to 8 ,E,"Sports, Team, Baseball, Sim"
A Plague Tale: Requiem,Asobo Studio,PlayStation 5,10/18/2022,82.0,69,8.1,519,No Online Multiplayer,M,"Action Adventure, Linear"
Ys VIII: Lacrimosa of DANA,Falcom,PlayStation 5,11/15/2022,82.0,12,7.7,14,,T,"Role-Playing, Action RPG"
This War of Mine: Final Cut,11 bit studios,PlayStation 5,05/10/2022,82.0,12,6.2,10,No Online Multiplayer,M,"Action, General, Miscellaneous, Action Adventure, Survival, Board / Card Game"
Horizon Forbidden West: Burning Shores,Guerrilla,PlayStation 5,04/19/2023,82.0,70,4.3,2480,No Online Multiplayer,T,"Action Adventure, Open-World"
WRC 9 FIA World Rally Championship,KT Racing,PlayStation 5,11/12/2020,82.0,9,7.5,28,Up to 8 ,E,"Racing, Simulation, Automobile"
WWE 2K23,Visual Concepts,PlayStation 5,03/14/2023,82.0,58,7.0,89,Up to 8 ,T,"Sports, Individual, Combat, Wrestling"
Resident Evil Village VR,Capcom,PlayStation 5,02/22/2023,82.0,11,8.0,64,No Online Multiplayer,,"Action Adventure, Survival"
Final Fantasy VII Remake Intergrade: Episode INTERmission,Square Enix,PlayStation 5,06/10/2021,81.0,24,8.2,111,,T,"Role-Playing, Action RPG"
Grand Theft Auto V,Rockstar North,PlayStation 5,03/15/2022,81.0,24,2.7,669,Up to 30 ,M,"Action Adventure, Open-World"
Diablo II: Resurrected,Blizzard Entertainment,PlayStation 5,09/23/2021,81.0,22,4.0,298,Up to 8 ,M,"Role-Playing, Action RPG"
The Entropy Centre,Stubby Games,PlayStation 5,11/03/2022,81.0,8,8.0,7,No Online Multiplayer,E10+,"Adventure, 3D, First-Person"
FAR: Changing Tides,Okomotive,PlayStation 5,03/01/2022,81.0,17,7.2,18,No Online Multiplayer,E,"Action Adventure, Linear"
DREDGE,Black Salt Games,PlayStation 5,03/30/2023,81.0,20,8.4,29,,E10+,"Adventure, General"
Life is Strange: True Colors,Deck Nine Games,PlayStation 5,09/10/2021,81.0,67,6.8,219,No Online Multiplayer,M,"Action Adventure, General"
Tails of Iron,Odd Bug Studio,PlayStation 5,09/17/2021,81.0,12,7.2,51,No Online Multiplayer,T,"Role-Playing, Action RPG"
SIFU,Sloclap,PlayStation 5,02/08/2022,81.0,79,8.1,538,No Online Multiplayer,M,"Action, Beat-'Em-Up, 3D"
Marvel's Midnight Suns,Firaxis Games,PlayStation 5,12/02/2022,81.0,28,7.1,106,No Online Multiplayer,T,"Strategy, Turn-Based, Tactics"
Like a Dragon: Ishin!,Ryu ga Gotoku Studios,PlayStation 5,02/21/2023,81.0,76,7.8,61,No Online Multiplayer,M,"Action Adventure, Open-World"
Wo Long: Fallen Dynasty,Team Ninja,PlayStation 5,03/03/2023,81.0,73,8.2,535,Up to 5 ,M,"Action Adventure, Linear, Role-Playing, Action RPG"
Planet Coaster: Console Edition,Frontier Developments,PlayStation 5,11/12/2020,81.0,9,6.2,31,No Online Multiplayer,E,"Strategy, Management, Business / Tycoon"
Kena: Bridge of Spirits,Emberlab,PlayStation 5,09/21/2021,81.0,82,8.4,1249,No Online Multiplayer,T,"Open-World, Action Adventure, General"
