genre,count
Role-Playing,90
Japanese-Style,16
Action Adventure,112
General,112
Modern,29
Linear,16
Action RPG,55
Action,125
Shooter,70
First-Person,60
Sci-Fi,36
Arcade,42
Strategy,39
Real-Time,14
Fantasy,33
PC-style RPG,9
Western-Style,19
Miscellaneous,23
Compilation,13
Massively Multiplayer,6
Survival,16
Tactical,7
Platformer,47
3D,29
Third-Person,10
Metroidvania,14
Historic,14
Command,5
Roguelike,2
Adventure,36
Open-World,38
2D,47
Turn-Based,20
Tactics,8
Sandbox,6
Point-and-Click,4
Sports,25
Individual,6
Skate / Skateboard,2
4X,6
Simulation,28
Space,1
Small Spaceship,2
Combat,3
Fighting,14
Other,4
Racing,24
Automobile,23
Visual Novel,2
Beat-'Em-Up,4
Flight,2
WWII,2
Puzzle,8
Rhythm,4
Music,4
Card Battle,4
Alternative,1
Skateboarding,2
Management,6
Government,3
Driving,3
GT / Street,2
Shoot-'Em-Up,6
Top-Down,4
Virtual Life,3
Virtual,2
Team,19
Soccer,6
Stacking,2
Baseball,5
Civilian,1
Horror,1
Vertical,2
Massively Multiplayer Online,3
Board / Card Game,4
Edutainment,1
Formula One,2
Sim,23
Defense,1
Rail,1
Wargame,1
Matching,1
Light Gun,1
Traditional,6
Football,1
Wrestling,1
Business / Tycoon,3
Basketball,5
Golf,2
Ice Hockey,1
